Date,Category,Description,Amount,Type
01/10/2024,Food,Grocery,50.75,Expense
02/10/2024,Rent,Monthly Rent,1200,Expense
02/10/2024,Utilities,Electricity Bill,60,Expense
03/10/2024,Food,Dinner,30,Expense
04/10/2024,Transport,Bus Ticket,2.75,Expense
05/10/2024,Food,Breakfast,15,Expense
06/10/2024,Income,Salary,2000,Income
10/10/2024,Income,Freelance Work,500,Income
12/10/2024,Utilities,Water Bill,40,Expense
15/10/2024,Food,Lunch,25,Expense
18/10/2024,Transport,Taxi,25,Expense
20/10/2024,Income,Investment Return,200,Income
25/10/2024,Food,Groceries,80,Expense
28/10/2024,Rent,Monthly Rent,1200,Expense
29/10/2024,Food,Grocery,50.75,Expense
30/10/2024,Rent,Monthly Rent,1200,Expense
31/10/2024,Utilities,Electricity Bill,60,Expense
01/11/2024,Food,Dinner,30,Expense
02/11/2024,Transport,Bus Ticket,2.75,Expense
03/11/2024,Food,Breakfast,15,Expense
04/11/2024,Income,Salary,2000,Income
05/11/2024,Income,Freelance Work,500,Income
06/11/2024,Utilities,Water Bill,40,Expense
07/11/2024,Food,Lunch,25,Expense
08/11/2024,Transport,Taxi,25,Expense
09/11/2024,Income,Investment Return,200,Income
10/11/2024,Food,Groceries,80,Expense
11/11/2024,Rent,Monthly Rent,1200,Expense
12/11/2024,Food,Grocery,50.75,Expense
13/11/2024,Rent,Monthly Rent,1200,Expense
14/11/2024,Utilities,Electricity Bill,60,Expense
15/11/2024,Food,Dinner,30,Expense
16/11/2024,Transport,Bus Ticket,2.75,Expense
17/11/2024,Food,Breakfast,15,Expense
18/11/2024,Income,Salary,2000,Income
19/11/2024,Income,Freelance Work,500,Income
20/11/2024,Utilities,Water Bill,40,Expense
21/11/2024,Food,Lunch,25,Expense
22/11/2024,Transport,Taxi,25,Expense
23/11/2024,Income,Investment Return,200,Income
24/11/2024,Food,Groceries,80,Expense
25/11/2024,Rent,Monthly Rent,1200,Expense
26/11/2024,Food,Grocery,50.75,Expense
27/11/2024,Rent,Monthly Rent,1200,Expense
28/11/2024,Utilities,Electricity Bill,60,Expense
29/11/2024,Food,Grocery,50.75,Expense
30/11/2024,Rent,Monthly Rent,1200,Expense
01/12/2024,Utilities,Electricity Bill,60,Expense
02/12/2024,Food,Dinner,30,Expense
03/12/2024,Transport,Bus Ticket,2.75,Expense
04/12/2024,Food,Breakfast,15,Expense
05/12/2024,Income,Salary,2000,Income
06/12/2024,Income,Freelance Work,500,Income
07/12/2024,Utilities,Water Bill,40,Expense
08/12/2024,Food,Lunch,25,Expense
09/12/2024,Transport,Taxi,25,Expense
10/12/2024,Income,Investment Return,200,Income
11/12/2024,Food,Groceries,80,Expense
12/12/2024,Rent,Monthly Rent,1200,Expense
13/12/2024,Food,Grocery,50.75,Expense
14/12/2024,Rent,Monthly Rent,1200,Expense
15/12/2024,Utilities,Electricity Bill,60,Expense
16/12/2024,Food,Dinner,30,Expense
17/12/2024,Transport,Bus Ticket,2.75,Expense
18/12/2024,Food,Breakfast,15,Expense
19/12/2024,Income,Salary,2000,Income
20/12/2024,Income,Freelance Work,500,Income
21/12/2024,Utilities,Water Bill,40,Expense
22/12/2024,Food,Lunch,25,Expense
23/12/2024,Transport,Taxi,25,Expense
24/12/2024,Income,Investment Return,200,Income
25/12/2024,Food,Groceries,80,Expense
26/12/2024,Rent,Monthly Rent,1200,Expense
27/12/2024,Food,Grocery,50.75,Expense
28/12/2024,Rent,Monthly Rent,1200,Expense
29/12/2024,Utilities,Electricity Bill,60,Expense
30/12/2024,Food,Dinner,30,Expense
31/12/2024,Transport,Bus Ticket,2.75,Expense
01/01/2025,Food,Breakfast,15,Expense
02/01/2025,Income,Salary,2000,Income
03/01/2025,Income,Freelance Work,500,Income
04/01/2025,Utilities,Water Bill,40,Expense
05/01/2025,Food,Lunch,25,Expense
06/01/2025,Transport,Taxi,25,Expense
07/01/2025,Income,Investment Return,200,Income
08/01/2025,Food,Groceries,80,Expense
09/01/2025,Rent,Monthly Rent,1200,Expense
10/01/2025,Food,Grocery,50.75,Expense
11/01/2025,Rent,Monthly Rent,1200,Expense
12/01/2025,Utilities,Electricity Bill,60,Expense
13/01/2025,Food,Groceries,80,Expense
14/01/2025,Rent,Monthly Rent,1200,Expense
15/01/2025,Food,Grocery,50.75,Expense
16/01/2025,Rent,Monthly Rent,1200,Expense
17/01/2025,Utilities,Electricity Bill,60,Expense
